state,office,district,mean_vote,q_025,q_975,potential_power,pr_close,pr_tip,realized_power
WA,governor,,0.5671854291844582,0.45304642284041524,0.68036727760933,0.5758206820792561,0.17980745588544927,1.0,0.10353685189089515
NV,president,,0.5131324095032702,0.4012173169630183,0.6244466200152105,25.0,0.14825317267979313,0.026863666890530557,0.09956559615835671
PA,statesenate,,0.43629199999999996,0.32,0.54,0.48931596902153773,0.19367507705978365,1.0,0.09476830800682903
CO,president,,0.5700866090702913,0.4568273639961809,0.6860245486468325,25.0,0.14825317267979313,0.02552048354600403,0.09458731635043888
NJ,president,,0.5801648684114893,0.46861022724485585,0.6916776088511984,25.0,0.14825317267979313,0.024848891873740765,0.09209817644647995
NJ,ussenate,NJ,0.5815755998404758,0.46815592594308547,0.6962994781150632,12.5,0.49661610501116144,0.014316961622588983,0.08887542145755524
VA,statesenate,,0.5382975,0.425,0.65,0.32543294788930616,0.27012755343058387,1.0,0.08790840601904096
NH,ussenate,NH,0.5797481062848365,0.4632197796850597,0.693661628725443,12.5,0.49661610501116144,0.013919268244183734,0.08640665975040092
NM,president,,0.5548740771528531,0.4416907541446766,0.6666800224918514,25.0,0.14825317267979313,0.022834116856950974,0.0846307567346032
SC,president,,0.44075814706748007,0.3265670222300744,0.5524795693910249,25.0,0.14825317267979313,0.02216252518468771,0.08214161683064428
NC,statesenate,,0.439454,0.32,0.56,0.3967242350899754,0.20355654251287744,1.0,0.08075581362598136
AZ,statehouse,,0.47507,0.36666666666666664,0.5833333333333334,0.2740051902598594,0.2941990130095018,1.0,0.0806120565339314
IL,ussenate,IL,0.5833306138429362,0.4699455876864265,0.6961032072696587,12.5,0.49661610501116144,0.01292503479817061,0.08023475548251514
AL,ussenate,AL,0.39725955944180674,0.28502893042775546,0.5070176267986144,12.5,0.49661610501116144,0.01292503479817061,0.08023475548251514
IA,president,,0.4585566286130231,0.34438594261493116,0.5716249877087404,25.0,0.14825317267979313,0.021490933512424447,0.07965247692668537
VA,statehouse,,0.549908,0.44,0.66,0.32543294788930616,0.23434125524088742,1.0,0.0762623655051223
KY,ussenate,KY,0.3982836335351484,0.28355330005892687,0.5115947775357116,12.5,0.49661610501116144,0.012129648041360111,0.07529723206820652
ME,president,,0.5517728263597084,0.4388148153533247,0.6654188247145587,25.0,0.14825317267979313,0.020147750167897917,0.07467419711876752
TX,statesenate,,0.3867193548387097,0.25806451612903225,0.5161290322580645,1.0966038340478594,0.06414429296613032,1.0,0.07034087759894765
AZ,statesenate,,0.4662133333333333,0.36666666666666664,0.5666666666666667,0.2740051902598594,0.2531234237742227,1.0,0.06935713189048291
FL,statesenate,,0.399695,0.275,0.525,0.8137777016645245,0.08403037840892888,1.0,0.06838204821161842
MN,statehouse,,0.5222380597014925,0.41044776119402987,0.6343283582089553,0.2143848384983207,0.30868611302938476,1.0,0.06617762248847903
MN,statesenate,,0.4764343283582089,0.3582089552238806,0.5970149253731343,0.2143848384983207,0.30223434279073136,1.0,0.06479446076783704
NC,statehouse,,0.42539083333333333,0.30833333333333335,0.5416666666666666,0.3967242350899754,0.1576701858060323,1.0,0.06255158386039246
IL,president,,0.5850370177840428,0.4699582510064015,0.7021678241816259,25.0,0.14825317267979313,0.0167897918065816,0.06222849759897294
GA,statehouse,,0.4251738888888889,0.3111111111111111,0.5388888888888889,0.4019148113011762,0.15340530724221862,1.0,0.06165586511285526
OR,ussenate,OR,0.5914069344358531,0.47579536358790897,0.7044012048567659,12.5,0.49661610501116144,0.009345794392523364,0.05801590011812633
IA,ushouse,IA-02,0.49966356026932546,0.38734084444612976,0.6161652578082651,12.5,0.3532746532389905,0.012868217054263565,0.056825186470612805
MO,governor,,0.41437909216615443,0.2970347059474427,0.5306986501786582,0.4681434766517746,0.12052621907964457,1.0,0.05642356322763826
UT,ushouse,UT-04,0.4974222728372697,0.38560869023189576,0.6111273811767503,12.5,0.3532746532389905,0.012558139534883722,0.0554559048689113
FL,ushouse,FL-27,0.4868650445563241,0.37409998971733543,0.6011638335410614,12.5,0.3532746532389905,0.012403100775193798,0.054771264068060536
