request,Election_Jurisdiction:token,Election_Jurisdiction:id,Election_Jurisdiction,Election_Year:token,Election_Year:id,Election_Year,General_Office:token,General_Office:id,General_Office,#_of_Records,Total_$
dt=1&y=2022&s=AR&y=2022&c-r-ot=J,s,AR,AR,y,2022,2022,c-r-ot,J,State Supreme Court,667,793203.18
dt=1&y=2022&s=WA&y=2022&c-r-ot=O,s,WA,WA,y,2022,2022,c-r-ot,O,Other Statewide,2288,715127.07
dt=1&y=2022&s=SD&y=2022&c-r-ot=S,s,SD,SD,y,2022,2022,c-r-ot,S,State Senate,1023,712019.2
dt=1&y=2022&s=DE&y=2022&c-r-ot=S,s,DE,DE,y,2022,2022,c-r-ot,S,State Senate,2801,711341.66
dt=1&y=2022&s=GA&y=2022&c-r-ot=J,s,GA,GA,y,2022,2022,c-r-ot,J,State Supreme Court,1035,700142.67
dt=1&y=2022&s=CT&y=2022&c-r-ot=H,s,CT,CT,y,2022,2022,c-r-ot,H,State House/Assembly,13733,664853.13
dt=1&y=2022&s=NH&y=2022&c-r-ot=O,s,NH,NH,y,2022,2022,c-r-ot,O,Other Statewide,2566,617463.26
dt=1&y=2022&s=LA&y=2022&c-r-ot=O,s,LA,LA,y,2022,2022,c-r-ot,O,Other Statewide,1172,613583.22
dt=1&y=2022&s=VT&y=2022&c-r-ot=O,s,VT,VT,y,2022,2022,c-r-ot,O,Other Statewide,1041,611813.93
dt=1&y=2022&s=NC&y=2022&c-r-ot=K,s,NC,NC,y,2022,2022,c-r-ot,K,Appellate Court,1656,593087.84
dt=1&y=2022&s=SC&y=2022&c-r-ot=S,s,SC,SC,y,2022,2022,c-r-ot,S,State Senate,855,574371.73
dt=1&y=2022&s=VT&y=2022&c-r-ot=S,s,VT,VT,y,2022,2022,c-r-ot,S,State Senate,1415,572466.22
dt=1&y=2022&s=DE&y=2022&c-r-ot=O,s,DE,DE,y,2022,2022,c-r-ot,O,Other Statewide,1470,533067.22
dt=1&y=2022&s=CT&y=2022&c-r-ot=S,s,CT,CT,y,2022,2022,c-r-ot,S,State Senate,6952,523016.41
dt=1&y=2022&s=WY&y=2022&c-r-ot=S,s,WY,WY,y,2022,2022,c-r-ot,S,State Senate,885,493842.17
dt=1&y=2022&s=AR&y=2022&c-r-ot=K,s,AR,AR,y,2022,2022,c-r-ot,K,Appellate Court,879,475251.66
dt=1&y=2022&s=GA&y=2022&c-r-ot=K,s,GA,GA,y,2022,2022,c-r-ot,K,Appellate Court,665,441597.15
dt=1&y=2022&s=GA&y=2022&c-r-ot=H,s,GA,GA,y,2022,2022,c-r-ot,H,State House/Assembly,577,307840.49
dt=1&y=2022&s=MT&y=2022&c-r-ot=O,s,MT,MT,y,2022,2022,c-r-ot,O,Other Statewide,1259,289955.47
dt=1&y=2022&s=UT&y=2022&c-r-ot=O,s,UT,UT,y,2022,2022,c-r-ot,O,Other Statewide,805,269108.97
dt=1&y=2022&s=OR&y=2022&c-r-ot=K,s,OR,OR,y,2022,2022,c-r-ot,K,Appellate Court,401,176061.88
dt=1&y=2022&s=HI&y=2022&c-r-ot=O,s,HI,HI,y,2022,2022,c-r-ot,O,Other Statewide,269,151024.13
dt=1&y=2022&s=WA&y=2022&c-r-ot=J,s,WA,WA,y,2022,2022,c-r-ot,J,State Supreme Court,365,144594.69
dt=1&y=2022&s=LA&y=2022&c-r-ot=H,s,LA,LA,y,2022,2022,c-r-ot,H,State House/Assembly,275,133072.83
dt=1&y=2022&s=ND&y=2022&c-r-ot=H,s,ND,ND,y,2022,2022,c-r-ot,H,State House/Assembly,93,118460.53
dt=1&y=2022&s=NH&y=2022&c-r-ot=H,s,NH,NH,y,2022,2022,c-r-ot,H,State House/Assembly,392,82620.68
dt=1&y=2022&s=GA&y=2022&c-r-ot=S,s,GA,GA,y,2022,2022,c-r-ot,S,State Senate,123,80050.68
dt=1&y=2022&s=NJ-HC&y=2022&c-r-ot=C,s,NJ-HC,NJ-HC,y,2022,2022,c-r-ot,C,Local Elections,53,76854.0
dt=1&y=2022&s=MI&y=2022&c-r-ot=K,s,MI,MI,y,2022,2022,c-r-ot,K,Appellate Court,24,51237.33
dt=1&y=2022&s=ND&y=2022&c-r-ot=S,s,ND,ND,y,2022,2022,c-r-ot,S,State Senate,54,40693.0
dt=1&y=2022&s=KS&y=2022&c-r-ot=S,s,KS,KS,y,2022,2022,c-r-ot,S,State Senate,80,37471.33
dt=1&y=2022&s=LA&y=2022&c-r-ot=J,s,LA,LA,y,2022,2022,c-r-ot,J,State Supreme Court,9,23950.0
dt=1&y=2022&s=WA&y=2022&c-r-ot=K,s,WA,WA,y,2022,2022,c-r-ot,K,Appellate Court,110,23141.19
dt=1&y=2022&s=MS&y=2022&c-r-ot=K,s,MS,MS,y,2022,2022,c-r-ot,K,Appellate Court,19,18199.0
dt=1&y=2022&s=ND&y=2022&c-r-ot=O,s,ND,ND,y,2022,2022,c-r-ot,O,Other Statewide,9,10734.0
dt=1&y=2022&s=FL&y=2022&c-r-ot=J,s,FL,FL,y,2022,2022,c-r-ot,J,State Supreme Court,0,0.0
dt=1&y=2022&s=FL&y=2022&c-r-ot=K,s,FL,FL,y,2022,2022,c-r-ot,K,Appellate Court,0,0.0
dt=1&y=2022&s=IN&y=2022&c-r-ot=J,s,IN,IN,y,2022,2022,c-r-ot,J,State Supreme Court,0,0.0
dt=1&y=2022&s=IN&y=2022&c-r-ot=K,s,IN,IN,y,2022,2022,c-r-ot,K,Appellate Court,0,0.0
dt=1&y=2022&s=KS&y=2022&c-r-ot=J,s,KS,KS,y,2022,2022,c-r-ot,J,State Supreme Court,0,0.0
dt=1&y=2022&s=KS&y=2022&c-r-ot=K,s,KS,KS,y,2022,2022,c-r-ot,K,Appellate Court,0,0.0
dt=1&y=2022&s=MD&y=2022&c-r-ot=K,s,MD,MD,y,2022,2022,c-r-ot,K,Appellate Court,0,0.0
dt=1&y=2022&s=MS&y=2022&c-r-ot=H,s,MS,MS,y,2022,2022,c-r-ot,H,State House/Assembly,0,0.0
dt=1&y=2022&s=NJ&y=2022&c-r-ot=H,s,NJ,NJ,y,2022,2022,c-r-ot,H,State House/Assembly,0,0.0
dt=1&y=2022&s=NJ&y=2022&c-r-ot=S,s,NJ,NJ,y,2022,2022,c-r-ot,S,State Senate,0,0.0
dt=1&y=2022&s=OR&y=2022&c-r-ot=J,s,OR,OR,y,2022,2022,c-r-ot,J,State Supreme Court,0,0.0
dt=1&y=2022&s=SD&y=2022&c-r-ot=O,s,SD,SD,y,2022,2022,c-r-ot,O,Other Statewide,0,0.0
dt=1&y=2022&s=VA&y=2022&c-r-ot=H,s,VA,VA,y,2022,2022,c-r-ot,H,State House/Assembly,0,0.0
